place,Type,Open,lat,long,notes1,notes2,website
Kala Noodle and Grill,Food,open,45.51631872,-122.6392419,Thai,,"https://www.google.com/maps/place/Kala+Noodle+and+Grill/@45.516339,-122.6398352,18.48z/data=!3m1!5s0x5495a048fc4420a7:0xcca61132df517f24!4m12!1m6!3m5!1s0x5495a04c3de68bd1:0xb7873ecee4585442!2sHA+%26+VL+Vietnamese+Noodle+Soup!8m2!3d45.5026581!4d-122.578503!3m4!1s0x0:0xdd45ec9ebf3d7026!8m2!3d45.5163163!4d-122.6392449"
The Vern,Bar,open,45.51635054,-122.6385864,Beer,,"https://www.google.com/maps/place/The+Vern/@45.51633,-122.6391743,18.97z/data=!3m1!5s0x5495a097aa3e965f:0x6d707c72c63a5745!4m12!1m6!3m5!1s0x5495a04c3de68bd1:0xb7873ecee4585442!2sHA+%26+VL+Vietnamese+Noodle+Soup!8m2!3d45.5026581!4d-122.578503!3m4!1s0x5495a1f0c7e81ba3:0xda5908754d914573!8m2!3d45.5163498!4d-122.6385908"
The Nest,Bar,open,45.5165621,-122.6377456,Beer,,"https://www.google.com/maps/place/The+Nest/@45.5167073,-122.63735,18z/data=!3m1!5s0x5495a09657e18313:0xf36dd7b6a162a1d5!4m12!1m6!3m5!1s0x5495a04c3de68bd1:0xb7873ecee4585442!2sHA+%26+VL+Vietnamese+Noodle+Soup!8m2!3d45.5026581!4d-122.578503!3m4!1s0x5495a09657e8c905:0x2ecfc8698fa532a!8m2!3d45.5166047!4d-122.6377583"
Baby Doll Pizza,Food,open,45.51942882,-122.6364748,Pizza,,"https://www.google.com/maps/place/Baby+Doll+Pizza/@45.519281,-122.6365279,19.73z/data=!3m1!5s0x5495a095f7d9e6eb:0xb008927395728b92!4m12!1m6!3m5!1s0x5495a04c3de68bd1:0xb7873ecee4585442!2sHA+%26+VL+Vietnamese+Noodle+Soup!8m2!3d45.5026581!4d-122.578503!3m4!1s0x5495a095f7a03a3d:0x3288d75ae0340e95!8m2!3d45.5194435!4d-122.6364823"
The Goodfoot,Bar,open,45.5194263,-122.6363302,Beer,,"https://www.google.com/maps/place/The+Goodfoot+%7C+Music,+DJs,+Art,+and+Food+since+2001/@45.5192452,-122.637084,17.87z/data=!4m5!3m4!1s0x5495a095f6d8ce53:0xf60e4ed82f571307!8m2!3d45.5194981!4d-122.6363726"
The Living Room Coffeehouse,Coffee,open,45.46099333,-122.6468407,Coffee,,"https://www.google.com/maps/place/The+Living+Room+Coffeehouse/@45.4608555,-122.6468656,18.55z/data=!3m1!5s0x54950ad1b57e61e3:0x995ee7448c0aac57!4m12!1m6!3m5!1s0x5495a0be1546ebc9:0x832e41ac3be7a500!2sKen's+Artisan+Pizza!8m2!3d45.520579!4d-122.6370642!3m4!1s0x54950ad1ca8083f3:0xcf9ac6bcb15eb3c7!8m2!3d45.4609875!4d-122.6468429"
Grand Central Bakery,Food,open,45.46587049,-122.6532196,Cafe,,"https://www.google.com/maps/place/Grand+Central+Bakery+-+Sellwood+cafe/@45.4656951,-122.653008,18.9z/data=!3m1!5s0x54950adb6a1f3ea7:0x713b9a2300e9108d!4m12!1m6!3m5!1s0x5495a0be1546ebc9:0x832e41ac3be7a500!2sKen's+Artisan+Pizza!8m2!3d45.520579!4d-122.6370642!3m4!1s0x0:0x46d1ae1645ef0a6c!8m2!3d45.465859!4d-122.653216"
Papa Haydn,Food,open,45.48040469,-122.6496383,Fine Dining,,"https://www.google.com/maps/place/Papa+Haydn/@45.4800552,-122.6489555,17.03z/data=!3m1!5s0x54950a933b64f5b7:0x59e8125c675da585!4m12!1m6!3m5!1s0x5495a0be1546ebc9:0x832e41ac3be7a500!2sKen's+Artisan+Pizza!8m2!3d45.520579!4d-122.6370642!3m4!1s0x54950a933b7d35ad:0xd3eb36b85880156b!8m2!3d45.4803808!4d-122.6497351"
Ancestry Brewing,Bar,open,45.4631112,-122.6528251,Outside Seating,,"https://www.google.com/maps/place/Ancestry+Brewing/@45.4631316,-122.6530261,18.06z/data=!3m1!5s0x54950ada678a6ac3:0x724ff15df6cb6a2b!4m12!1m6!3m5!1s0x5495a0be1546ebc9:0x832e41ac3be7a500!2sKen's+Artisan+Pizza!8m2!3d45.520579!4d-122.6370642!3m4!1s0x54950ada5ce7f745:0x462a66b2ff890d21!8m2!3d45.4631009!4d-122.65283"
Teote House Cafe,Food,open,45.51120269,-122.6538139,Latin American,,"https://www.google.com/maps/place/Teote+House+Cafe/@45.5111227,-122.6538573,18.92z/data=!4m12!1m6!3m5!1s0x54950b4700fac5d9:0x800e88ca47f0761a!2sBroken+Robot+Coffee!8m2!3d45.4931834!4d-122.6361854!3m4!1s0x5495a09fcd4ec5e9:0xc6af88e1598cb106!8m2!3d45.5111917!4d-122.6538112"
